,altname,altt,alttitle,altwhy,aw,award,awards,awattr,awref,awtype,bnote,bt,budget,by,cat,cattext,cost,coverage,date,dir,diraw,diraward,dirid,dirk,dirn,dirname,dirnote,dirstart,dist,distr,distributor,error,facts,fid,filmed,films,fnote,inc,kname,lang,length,mnote,moneynote,moneynotes,name,nm,nnote,notes,paw,pawattr,period,pname,prc,prcnote,prctext,prod,prodk,prodnote,prods,profit,rating,refdest,refto,reftype,released,rereleased,seen,sername,serno,sersize,sert,siteat,siteclass,sitedes,sitename,siteplace,sitetype,studio,studioloc,studios,t,time,ttl,url,vt,year
10,,,,,,,,,,,,,,,Fant,,,,,,,,WRB,R,Booth,Booth,,@1901,,,,,,WRB10,,"
   ",,,,,,,,,,,,,,,,,sbw,,,,,,,,,,,,,,23Oct1990,,,,,,,,,GB,,,,,The Magic Sword or A Medieval Mystery,,,,,1891
11,,,,,,,,,,,,,,,Dram,,,first,,,,,CPa,R,Pathe,Pathe,,@1902,,,,,Les Mis#1,CPa50,,"
   ",,,,,4reels,,,,,,,,,,,Pathe,sbw,,,,R,,,,,,,,,,,,,,,,city,,Paris,France,,Pathe,,,Les Mis\'erables,,,,,1909
12,,,,,,,,,,,,,,,BioP,,,first,,,,,WHa,R,Haggar,Haggar,,@1902,,,,,,WHa8,,"
   ",,,,,short,,,,,,,,,,,Haggar,bws,,,,R,,,,,,,,,,,,,,,,,,,,,,,,The Life of Charles Pierce,,,,,1905
13,,,,,,,,,,,,,,,Advt,,,,,,,,WMc,R,McCutcheon,McCutcheon,,@1903,,,,,,WMc10,,"
   ",,,,,21m,,,,McCutcheon,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Biograph,,,Kit Carson,,,,,1903
14,,,,,,,,,,,,,,,BioP,,,,,,,,ThE,R,Edison,Edison,,@1904,,,,,,ThE10,,"
   ",,,,,,,,,,,,,,,,Edison,bws,,score distinct,,N,,,,,,,,,,,,,,,,theater,,,,,Edison,,,Parsifal,,,,,1904
15,,,,,,,,,,,,,,,Musc,,,first,,,,,JaC,R,Cruze,Cruze,,@1906,,,,,early Western,JaC40,," 
   ",,,,,,,,,,,,,,,1790,,bnw,,,,,,,,,,,,,,10Feb2004,,,,,,theater,,Atlantic coast,Europe,,,,,Sutter's Gold,,,,,1936
16,,,,,,,,,,,,,,,West,,,first,,,,,GKS,R,Spoor,Spoor,,@1907,,,,,,GKS60,,"
   ",,,,,15 min,,,,,,,,,,,Spoor,bws,,,,R,,,,,,,,,,,,,,,West,,,,USA,,Essanay,,,The Dead Man's Claim,,,,,1912
17,,,,,,,,,,,,,,,Dram,,,first,,,,,LMi,R,Maggi,Maggi,,@1908,,,,,,LMi35,,"
   ",,,,,16 min,,,,P.G. Piatti,,,,,,300BC,Arturo Ambrosio,bws,,,,N,,,,,,,,,,,,,,,,city,,Venice,Italy,,Ambrosio,Italy,,The Lion of Venice,,,,,1914
18,,The Birth of a Nation,,1916,,,,**,,W50,,The Chink and the Child,,,BioP,,,"all after 1915, many prior.",,,,,DWG,R,Griffith,Griffith,,@1908,,,,"D, y(19yy)",,DWG80,,"
   ",,,Menzies,,2 h,,,,G.W. Bitzer,,,,,,1919,Joseph Schenck,sbw,,with coloring,,N,,,,,,,,,,[MO],,,,,West,city,ice floe,Washington,DC,,U.A.,USA,,Abraham Lincoln,,,,,1930
19,,,,,,,,,,,,,,,Romt,,,,,,,,Z02,R,Unknown2,Unknown2,,@1908,,,,,,Z0270,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,\It,,Romeo and Juliet,,,,,1916
20,,,,,,,,,,,,,,,Cart,,,,,,,,EiC,R,Cohl,Cohl,,@1909,,,,,,EiC10,,"
   ",,,,,short,,,,,,,,,,,,,,multiple,,,,,,,,,,,,,,,,,,,,,,,Gaumont,,,Le Binetoscope,,,,,1909
21,,,,,,,,,,,,,,,Hist,,,,,,,,GdL,R,deLiguoro,deLiguoro,,@1909,,,,,,GdL10,,"
   ",,,,,14 min,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,city,,Venice,Italy,,SaffiComerio,,,"Marin Valiero, Doge of Venice",,,,,1909
22,,,,,,,,,,,,,,,Dram,,,,,,,,MCs,R,Caserini,Caserini,,@1909,,,,,,MCs10,,"
   ",,,Shakespeare,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,25Feb1995,,,,,,city,,Paris,France,,Artistica Gloria,,,Love Everlasting,,,,,1913
23,,,,,,,,,,,,,,,Cart,,,,,,,,WMk,R,Mackay,Mackay,,@1909,,,,,,WMk10,,"
   ",,,,,,,,,,,,,,,1000000BC,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gertie the Dino,,,,,1909
24,,,,,,,,,,,,,,,Romt,,,,,,,,FkP,R,F.Powell,F.Powell,,@1910,,,,,,FkP10,,"
   ",,,,,,,,,Arthur Marvin,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Biograph,,,All on Account of Milk,,,,,1910
25,,,,,,,,,,,,,,,Dram,,,,,,,,GlS,R,loSavio,loSavio,,@1910,,,,,,GlS10,,"
   ",,,Shakespeare,,8 min,,,,,,,,,,,,bws,,incomplete,,,,,,,,,,,,,,,,,,city,,Venice,Italy,,Film d'Arte Italia,,,The Merchant of Venice,,,,,1910
26,,,,,,,,,,,,,,,Biop,,,,,,,,ISB,R,Blackton,Blackton,,@1910,,,,,,ISB10,,"
   ",,,,,4 reels,,,,,,,,,,,,col,,"silent, 18m remaining",,,,,,,,,,,,,,,,,,,,,,,Vitagraph,,,Life of Moses,,,,,1910
27,,,,,,,,,,,,,,,Dram,,,"first, scores of others",,,,,ThB,R,Bentley,Bentley,,@1910,,,,,,ThB80,,"
   ",,,,,,,,,Dickens,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,store,,,,,BIP ,,,Lucky to Me,,,,,1939
28,,,,,,,,,,,,,,,Romt,,,,,,,,UgF,R,Falena,Falena,,@1910,,,,,,UgF12,,"
   ",,,,,10min,,,,Dante,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Film d'Art Paris,,,Francesca di Rimini,,,,,1911
29,,,,,,,,,,,,,,,Advt,,,,,,,,APv,N,Francesco Bertolini,Padovan,,@1911,,,,,,APv11,,"
   ",,,,,6min,,,,Homer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Milano Films,,,Homer's Odyssey,,,,,1911
30,,,,,,,,,,,,,,,Dram,,,,,,,,AuB,R,Blom,Blom,,@1911,,,,,,AuB10,,"
   ",,,,,24m,,,,Valdemar Hansen,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Great Northern,,,The Vampire Dancer,,,,,1911
31,,,,,,,,,,,,,,,,,,,,,,,LcP,R,Perret,Perret,,@1911,,,,,,LcP15,,"
   ",,,,,115 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L'Enfant de Paris,,,,,1913
32,,,,,,,,,,,,,,,,,,,,,,,OrM,R,Mentasti,Mentasti,,@1911,,,,,,OrM10,,"
   ",,,,,21 min,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Itala,,,Clios and Phyletes,,,,,1911
33,,,,,,,,v,,H,,,,,West,,,,,,,,ThI,R,Th.Ince,Th.Ince,,@1911,,,,D,,ThI65,,"
   ",,,,,50 min,,,,,,,,,,,Th.ince,bws,,sound added 1931,,R,,,,,,,,,,,,,,,West,mil.inst.,battlefields,,USA,,Quality Amusememt Inc.,,,Custer's Last Fight,,,,,1925
34,,,,,,,,,,,,,,,Dram,,,,,,,,UrG,R,Gad,Gad,,@1911,,,,,,UrG10,,"
   ",,,,,29m,,,,Christian Nobel,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Great Northern,,,The Aviator's Generosity,,,,,1911
35,,,,,,,,,,,,,,,Dram,,,first,,,,,WmH,R,Humphrey,Humphrey,,@1911,,,,,,WmH10,,"
   ",,,,,,,,,Dickens,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,A Tale of Two Cities,,,,,1911
36,,,,,,,,0,[47],H,,,,,Dram,,,hundreds before 1920,,,,,ADw,R,Dwan,Dwan,,@1912,,,,,,ADw80,,"
   ",,,,,14m,,,,Robert Blees,,,,AAN,,1850,Bogeaus,col,,"part sound, music",,R,,,,,,,,,,,,,,,MidWest,city,island,,USA,,RKO,,,Slightly Scarlet,,,,,1956
37,,,,,,,,0,,H,,Philo Vance,,,Musc,,,first,,,,,AEG,R,A.E.Green,A.E.Green,,@1912,,,,,,AEG70,,"
   ",,,,,,,,,Ray Heindorf,,,,AA,,,Sidney Skolsky,Tcol,,,,N,,,,,,,,,,,,,,,NYC,theater,,,NY,,Warners,,,The Eddie Cantor Story,,,,,1953
38,,,,,,,,**,[47],AAN,,,,,Romt,,,first,,,,,JCw,R,Conway,Conway,,@1912,,,,,,JCw75,,"
   ",,,Hecht,,,,,,Gilliat,,,,,,1780,Lawrence Weingarten,bnw,,,,N,,,,,,,,,,,,,,,,public,parties,,France,,MGM,,,The Hucksters,,,,,1947
39,,,,,,,,,,,,,,,Comd,,,,,,,,JDu,R,Durand,Durand,,@1912,,,,,,JDu10,,"
   ",,,,,short,,,,,,,,,,,,,,multiple,,,,,,,,,,,,,,,,,,,,,,,Gaumont,,,Comedy of the absurd,,,,,1912
40,,,,,,,,,,,,,,,CnRb,,,,,,,,MaT,R,M.Tourneur,M.Tourneur,,@1912,,,,,,MaT40,,"
   ",,,,,,,,,,,,,,,,World,bws,,,,N,,,,,,,,,,,,,,,,,,,,,,,,Au nom de la loi,,,,,1931
41,,,,,,,,,,,,,,,BioP,,,first ?,,,,,LMe,R,Mercanton,Mercanton,,@1912,,,Famous,,,LMe10,,"
   ",,,,,40 min,,,,,,,,,,,,bws,,4 reels,,,,,,,,,,,,,,,,,,law,court,,GB,,Engadine Amusement Co,\Fr,,Queen Elizabeth,,,,,1912
42,,,,,,,,,,,,,,,Musc,,,,,,,,LoW,R,Weber,Weber,,@1912,,,,,,LoW21,,"
   ",,,,,6 min,,,,Lois Weber,,,,,,,,sbw ,,,,,,,,,,,,,,,,,,,,,,,,,Universal,,,Shoes,,,,,1920
43,,,,,,,,0,,H,,,,,Susp,,,first,,,,,ME,R,Elvey,Elvey,,@1912,,,,y(1919),,ME300,,"
   ",,,,,,,,,,,,,,,,Victor M. Greene,bnw,,,,N,,,,,,,,,,,,,,,,train,,London,GB,,Admiral,,,My Wife's Lodger,,,,,1952
44,,,,,,,,,,,,,,,Comd,,,,,,,,MSe,,,Mack~Sennett,no director named,@1912,,,,,,MSe18,,"
   ",,,,,14m,,,,Mack~Sennett,,,,,,,Mack~Sennett,bws,,,,R,,,,,,,,,,,,,,,,city,,San Diego,CA,,Keystone,,,Fatty and Mabel's Simple Life,,,,,1915
45,,,,,,,,*,,H,,,,,Dram,,,first,,,,,MSt,R,M.Stiller,M.Stiller,,@1912,,,,,,MSt60,,"
   ",,,,,,,,,Dorothy Farnum,,,,,,,,bws,,,,,,,,,,,,,,15Apr1990,,,,,,hotel,,Paris,Argentinia,,MGM,USA ,,Street of Sin,,,,,1928
46,,,,,,,,,,,,,,,Hist,,100K+,,,,,,SiO,R,Olcott,Olcott,,@1912,,,,,,SiO30,,"
   ",,,,,,,,,Harry Fischbeck,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,Palestine,,Zokor-Lasky,,,Monsieur Beaucaire,,,,,1924
47,,The Broken Spring Rose,,USA,,,,***,,H,,,,,Dram,,,first,,,,,VSj,R,Seastrom,Seastrom,,@1912,,,,"P2, sp)",,VSj8,,"
   ",,,,,,,,,Arthur Kleiner,,,,,,1700,Lars Hanson,sbw,,"bnw in 1928, reissued 1984",,N,,,,,,,,,,,,,,,New England,csd,prarie,,TX,,MGM,,,The Wind,,,,,1927
48,,,,,,,,,,,,,,,CnRb,,,,,,,,Z12,R,Unknown12,UnYear12,,@1912,,,,,,Z1230,,"
   ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Within the Law,,,,,1923
49,,,,,,,,,,,,,,,Dram,,,,,,,,ElR,R,Rodolfo,Rodolfo,,@1913,,,,,,ElR10,,"
   ",,,,,,,,,BulwerLytton,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Ambrosio,,,The Last Days of Pompeii,,,,,1913
50,,,,,,,,,,,,Faust,,,Romt,,,,,,,,NOx,R,Oxilia,Oxilia,,@1913,,,,,,NOx20,,"
   ",,,,,,,,,Pietro Mascagni,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Cines,,,Rhapsodia Satanica,,,,,1917
51,,,,,,,,,,,,,,,DRam,,,,,,,,AcG,R,Gonsalvi,Gonsalvi,,@1913,,,,,,AcG10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Aquila,,,"Fedora, or Piu Forte dell'Odio e Amore",,,,,1913
52,,,,,,,,,,,,,,,West,,,,,,,,BuG,R,George,George,,@1913,,,,,,BuG10,,"
   ",,,,,42 min,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Edison,,,Blade O'Grass,,,,,1915
53,,,,,,,,*,,H,,,,,Epic,,,first,,,,,CDM,R,DeMille,DeMille,,@1913,,,,,Changed in 1918 to exonerate Japan,CDM80,,"
   ",,12M,Elmer~Bernstein,,219Min,,,,Loyal Griggs,,,,AAN,,1100BC,Henry Wilcoxon,Tcol \VsVis,,last deMille bnw,,N,,,,,,,,,,26Mar1989,,,,,West,am.park,circus,St.Louis,Palestine,,Paramount,,,The Ten Commandments,,,,,1956
54,,,,,,,,,,,,,,,Dram,,,,,,,,EGz,R,Guazzoni,Guazzoni,,@1913,,,,,,EGz10,,"
   ",,,Shakespeare,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Cines,,,Anthony and Cleopatra,,,,,1913
55,,,,,,,,0,,H,,,,,Comd,,,first,,,,,GBS,R,Seitz,Seitz,,@1913,,,,y(1925?),,GBS150,,"
   ",,,,,,,,,Roy Webb,,,,,,1757,Lucien Hubbard,bnw,,,,N,,,,,,,,,,May1989,,14,,Andy Hardy,West,csd,,,USA,,MGM,,,Andy Hardy's Blonde Trouble,,,,,1944
56,,,,,,,,,,,,,,,Dram,,,,,,,,BHd,R,Haldane,Haldane,,@1913,,,,y(1916),,BHd10,,"
   ",,,,,1h+,,,,Mrs.~Henry Wood,,,,,,,William George Barker,bws,,,,R,,,,,,,,,,,,,,,,,,,,,,,,East Lynne,,,,,1913
57,,,,,,,,,,,,,,,Dram,,,first,,,,,DGP,R,Phalke,Phalke,,@1913,,,,,first Indian movie,DGP1,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raja Harishchandra,,,,,1913
58,,,,,,,,0,,H,,,,,Actn,,50K,,,,,,HBn,R,Brenon,Brenon,,@1913,,,,,,HBn40,,"
   ",,,,,,,,,P.C. Wren,,,,,,,William leBaron,bnw,,,,N,,,,,,,,,,,,,,,North Africa,desert,,,Bermuda,,Paramount,,,Beau Ideal,,,,,1931
59,,,,,,,,,,,,,,,Docu,,,first,,,,,HHS,R,Schomburgk,Schomburgk,,@1913,,,MPSA,y(19yy),,HHS50,,"
   ",,,,,,,,,James Samuel Hodgson,,,,,,,Schomburgk,bw,,,,R,,,,,,,,,,,,,,,Africa,csd,jungle,,Africa,,,,,Abschied von Afrika,,,,,1956
60,,,,,,,,,,,,,,,,,,first,,,,,PW,R,Wegener,Wegener,,@1913,,,,,,PW4,,"
   ",,,,,,,,,,,,,,,,,sbw,,,,,,,,,,,,,,,,,,,,,,,,,UFA,,,Der Golem,,,,,1920
61,,,,,,,,,,,,,,,Advt,,,,,,,,Z42,R,Unknown42,Unknown42,,@1913,,,,,,Z4240,,"
   ",,,,,,,,,Edgar Rice Burroughs,,,,,,,,bws,,,,,,,,,,,,,,,,11-20,,Tarzan,,,,,,,,,,Tarzan the Mighty,,,,,1928
62,,,,,,,,,,,,,,,Comd,,,,,,,,ADA,R,DegliAbbati,DegliAbbati,,@1914,,,,,,ADA10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Aristica Gloria,,,The Memory of the Other,,,,,1914
63,,Lady Hamilton,,USA,,,,Winston Churchill's favorite movie,[47],VIP,,,,,Comd,,,first,,,,,AK,R,A.Korda,A.Korda,,@1914,,,Goldwyn,,,AK96,,"
   ",,,Oscar~Wilde,,,,,,Marcel Pagnol,,,,,,,A.Korda,bnw,,,,R,,,,,,,,,,24Aug1990,,1,,Pagnol,Marseille,sea,cafe,Trafalgar,Atlantic,,London Films,USA,,An Ideal Husband,,,,,1947
64,,,,,,,,***,,H,,Hungarian Dance #5,,,Dram,,,first,,,,,CC,R,Chaplin,Chaplin,,@1914,,,,,,CC83.,,"
   ",,,,,52min,,,,Chaplin,,,,,,1936,Chaplin,bnw,,sound added,,R,,,,,,,,,,,,,,,,city,snow,Paris,France,,England,USA,,A Countess from Hong Kong,,,,N-CO1,1966
65,,,,,,,,,,,,,,,Dram,,,,,,,,CGl,R,Gallone,Gallone,,@1914,,,,y(192y),,CGl115,,"
   ",,,,,250 min,,,,Antonio Coppola,,,,,,,Gallone,bws,,,,R,,,,,,,,,,,,,,,,,,,,,S.A. Grandi,,,Carmen di Travestere,,,,,1962
66,,,,,,,,,,,,,,,,,,first,,,,,CoC,R,C.Campbell,C.Campbell,,@1914,,,,,,CoC10,,"
   ",,,,,80 min,,,,,,,,,,,Selig,sbw,,,,R,,,,,,,,,,[MO],,,,,,csd,,,AK,,,,,The Spoilers,,,,,1914
67,,,,,,,,,,,,,,,Comd,,,,,,,,CWl,R,Wilhelm,Wilhelm,,@1914,,,,,,CWl10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,city,,Berlin,Germany,,Union,,,Der Stolz der Firma,,,,,1914
68,,,,,,,,,,,,,,,Dram,,,,,,,,ECs,R,E.Curtis,E.Curtis,,@1914,,,,,,ECs10,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,several,island,,Kwakiutl ,Oceania,,,,,In The Land of the War Canoes,,,,,1914
69,,Broken Lullaby,,USA,,,,***,,H,,The Blue Coast,,,Romt,,,first,,,,,EL,R,Lubitsch,Lubitsch,,@1914,,,UFA,"only(E,P)",many CoD,EL69,,"
   ",,,Hecht,,,,,,Edward Cronjager,,,,AAN,,1919,Lubitsch,bnw,,sound,,R,,,,,,,,,,1988,,,,,Marshovia,city,court,NYC,NY,,Fox,,,Cluny Brown,,,,,1946
70,,,,,,,,,,,,,,,Dram,,,,,,,,PFo,R,Fosco,Fosco,,@1914,,,,,,PFo25,,"
   ",,,,,,,,,Henrik Ibsen,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Itala,,,Hedda Gabler,,,,,1919
71,,,,,,,,,,,,,,,Dram,,,,,,,,ReB,R,R.Barker,R.Barker,,@1914,,,,,,ReB10,,"
   ",,,,,50 min,,,,,,,,,,,Th.Ince,bws,,,,R,,,,,,,,,,,,,,,,,,,,,New York,,,The Typhoon,,,,,1914
72,,,,,,,,0,,H,,Academic Festival Ouverure,,,Dram,,,first,,,,,ASa,R,Santell,Santell,,@1915,,,,,based on Sacco-Vanzetti case,ASa51,,"
   ",,,,,,,,,Eugene ONeil,,,,,,,,bnw,,,,,,,,,,,,,,21Apr1997,,,,,,hospital,clinic,,USA,,Fox,,,The Hairy Ape,,,,,1944
73,,,,,,,,*,,H,,,,,Advt,,,first,,,,,ECa,R,Carewe,Carewe,,@1915,,,,"D,T",,ECa75,,"
   ",,,,,,,,,,,,,,,,Lloyd Sheldon,bnw,,,,N,,,,,,,,,,,,,,,,csd,,,Alaska,,Paramount,,,Are We Civilized?,,,,,1934
74,,,,,,,,,,,,,,,Surr,,,first,,,,,GD,R,Dulac,Dulac,,@1915,,,,,,GD19,,"
   ",,,,,30min,,,,Artaud,,,,,,,,sbw,,,,,,,,,,,,,,,,,,,,,,,,,Delia,,,La Coquille et le Clergyman,,,,,1926
75,,,,,,,,,,,,,,,Dram,,,first,,,,,GMf,R,Melford,Melford,,@1915,,,,,shot on same sets as TBr55,GMf70,,"
   ",,,,\Sp,65m,,,,Kipling,,,,,,,Lasky,bws,,,,N,,,,,,,,,,,,,,,Transylvania,city,,London,GB,,Paramount,,,The Light That Failed,,,,,1940
76,,,,,,,,,,,,,,,Dram,,,,,,,,GuS,R,Serena,Serena,,@1915,,,,,,GuS12,,"
   ",,,,,,,,,Alexandre Dumas,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Ceasar,,,The Woman of the Camelias,,,,,1915
77,,,,,,,,0,,H,,,,,BioP,,,,,,,,IGA,R,Adolfi,Adolfi,,@1915,,,,,,IGA70,,"
   ",,,,,,,,,,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,,,,,,,Warners,,,Voltaire,,,,,1933
78,,,,,,,,,,,,,,,Dram,,,,,,,,JGE,R,G Edwards,G Edwards,,@1915,,,,,,JGE25,,"
   ",,,,,,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,,,,It's the Law,,,,,1924
79,,,,,,,,0,,H,,,,,Dram,,,first,,,,,JMa,R,J.May,J.May,,@1915,,,,,,JMa70,,"
   ",,,,,,,,,Frank Skinner,,,,AAN,,1920,Burt Kelly,bnw,,,,N,,,,,,,,,,20Jun1992,,,,,,city,,Berlin,Germany,,US,,,Johnny Doen't Live Here Any More,,,,,1944
80,,,,,,,,,,,,,,,Comd,,,,,,,,LaW,R,L.West,L.West,,@1915,,,,,,LaW10,,"
   ",,,,,12 min,,,,,,,,,,,,bws,,,,,,,,,,,,,,,,,,,,,,,,,Thomas Edison,,,The Corporal's Daughter,,,,,1915
81,,,,,,,,,,,,,,,CnRb,,,,,,,,LFl,R,Feuillade,Feuillade,,@1908,,,,,,LFl70,,"
   ",,,,,335min,,,,,,,,,,,,pws,,,,,,,,,,,,,,,,,15,,,city,,Paris,France,,Gaumont,,,Judex,,,,,1917
82,,,,,,,,0,,H,,Rain,,,Dram,,,first,,,,,RaW,R,Walsh,Walsh,,@1915,,,,bws?),,RaW93,,"
   ",,,,,,,,,Mailer,,,,AAN,,1650,none,Wcol,,Movietone sound,,R,,,,,,,,,,23Sep1990,,,,,West,estate,plantation,Brooklyn,LA,,Warners,,,A Distant Trumpet,,,,part,1964
83,,Lovers and Thieves,,USA,,,,,,,,,,,Comd,,,first,,,,,SG,R,Guitry,Guitry,,@1915,,,,,,SG71,,"
   ",,,,"\Fr, \It, \GB, Abessynian",,,,,Guitry,,,,,,,,bnw,,The Abessinian is actually French spoken backwards,,,,,,,,,,,,,,,,,Paris,town,suburb,Paris,France,,Gaumont,,,Assassins et Voleurs,,,,,1957
84,,,,,,,,,,,,,,,Dram,,,first,,,,,WDT,R,W.D.Taylor,W.D.Taylor,,@1915,,,,T),,WDT31,,"
   ",,,,,,,,,Mark Twain,,,,,,1916,,bws,,,,,,,,,,,,,,,,,,,,csd,farm,S.F.,PA,,RealArt,,,Huckleberry Finn,,,,,1920
85,,,,,,,,,,,,,,,Comd,,,,,,,,Z15,R,Unknown15,Unknown15,,@1915,,,,,,Z1580,,"
   ",,,,,,,,,,,,,,,,,bnw,,,,,,,,,,,,,,,,,,,Paris,theater,,,France,,,,,The Dancer of Paris,,,,,1928
